47.644113 -122.205586, 135.000000, 5.000000, 0.000000, 1380803769390250, 03.10.2013 15:36:09
47.644081 -122.205539, 135.000000, 5.000000, 0.000000, 1380803769691764, 03.10.2013 15:36:09
47.644039 -122.205520, 169.000000, 5.000000, 0.000000, 1380803769993158, 03.10.2013 15:36:09
47.643995 -122.205507, 169.000000, 5.000000, 0.000000, 1380803770294258, 03.10.2013 15:36:10
47.643950 -122.205494, 169.000000, 5.000000, 0.000000, 1380803770595471, 03.10.2013 15:36:10
47.643906 -122.205485, 174.000000, 5.000000, 0.000000, 1380803770896178, 03.10.2013 15:36:10
47.643861 -122.205478, 174.000000, 5.000000, 0.000000, 1380803771197153, 03.10.2013 15:36:11
47.643817 -122.205470, 174.000000, 5.000000, 0.000000, 1380803771498460, 03.10.2013 15:36:11
47.643772 -122.205469, 198.000000, 5.000000, 0.000000, 1380803771799787, 03.10.2013 15:36:11
47.643730 -122.205489, 198.000000, 5.000000, 0.000000, 1380803772100929, 03.10.2013 15:36:12
47.643687 -122.205510, 198.000000, 5.000000, 0.000000, 1380803772401393, 03.10.2013 15:36:12
47.643644 -122.205530, 198.000000, 5.000000, 0.000000, 1380803772702731, 03.10.2013 15:36:12
47.643601 -122.205551, 198.000000, 5.000000, 0.000000, 1380803773003868, 03.10.2013 15:36:13
47.643558 -122.205571, 198.000000, 5.000000, 0.000000, 1380803773304856, 03.10.2013 15:36:13
47.643515 -122.205591, 198.000000, 5.000000, 0.000000, 1380803773606306, 03.10.2013 15:36:13
47.643472 -122.205612, 198.000000, 5.000000, 0.000000, 1380803773907582, 03.10.2013 15:36:13
47.643429 -122.205632, 198.000000, 5.000000, 0.000000, 1380803774209003, 03.10.2013 15:36:14
47.643386 -122.205653, 198.000000, 5.000000, 0.000000, 1380803774510139, 03.10.2013 15:36:14
47.643366 -122.205615, 105.000000, 5.000000, 0.000000, 1380803774811384, 03.10.2013 15:36:14
47.643354 -122.205550, 105.000000, 5.000000, 0.000000, 1380803775112501, 03.10.2013 15:36:15
47.643342 -122.205485, 105.000000, 5.000000, 0.000000, 1380803775412942, 03.10.2013 15:36:15
47.643331 -122.205421, 105.000000, 5.000000, 0.000000, 1380803775713164, 03.10.2013 15:36:15
47.643319 -122.205356, 105.000000, 5.000000, 0.000000, 1380803776014284, 03.10.2013 15:36:16
47.643307 -122.205292, 105.000000, 5.000000, 0.000000, 1380803776319593, 03.10.2013 15:36:16
47.643296 -122.205227, 105.000000, 5.000000, 0.000000, 1380803776621354, 03.10.2013 15:36:16
47.643284 -122.205163, 105.000000, 5.000000, 0.000000, 1380803776923021, 03.10.2013 15:36:16
47.643272 -122.205098, 105.000000, 5.000000, 0.000000, 1380803777224450, 03.10.2013 15:36:17
